Console,GameName,Review,Score,Score_Category
PC,Baldur's Gate 3 Early Access Review,early access,6,Medium
NS,Control: Ultimate Edition Cloud Version Review,good,7,Medium
"XONE, PC, PS4",Doom Eternal: The Ancient Gods Part 1 Review,good,7,Medium
"XONE, PC, PS4",Watch Dogs: Legion Review,great,8,High
PC,Ring Of Pain Review,great,8,High
NS,Pikmin 3 Deluxe Review,great,8,High
"PC, XONE, PS4",Ghostrunner Review,good,7,Medium
"PC, NS",Disc Room Review – Getting Buzzed,great,8,High
"XONE, PS4",NHL 21 Review,superb,9,High
PC,Noita Review,good,7,Medium
PC,Amnesia: Rebirth Review,great,8,High
"PC, PS4",Genshin Impact Review – Direct Hit,good,7,Medium
"PC, XONE, PS4, NS",Ikenfell Review,fair,6,Medium
NS,Ring Fit Adventure Review: One Year Later,superb,9,High
"XONE, PC, PS4",Star Wars: Squadrons Review – Catch Me If You Can,good,7,Medium
"NS, NS",Mario Kart Live: Home Circuit Review – Making Tracks,good,7,Medium
PC,I Am Dead Review – Staying Alive,good,7,Medium
PS4,FIFA 21 Review – A Goal Bonanza,great,8,High
NS,Super Mario Bros. 35 Review – Mario Royale,good,7,Medium
PC,The Solitaire Conspiracy Review – Jack Of All Trades,good,7,Medium
"XONE, PS4",Crash Bandicoot 4 Review – Platformer's Delight,great,8,High
NS,Kirby Fighters 2 Review – 2 Kirby 2 Furious,fair,6,Medium
PC,Pendragon Review – Endless Legends,fair,6,Medium
PC,Serious Sam 4 Review – The Fourth Encounter,good,7,Medium
PS4,NBA 2K21 Review – Ball Another Day,fair,6,Medium
PC,Crusader Kings 3 Review – Pass the Duchy,great,8,High
PS4,Spelunky 2 Review –  Snakes On A 2D Plane,great,8,High
PC,Mafia: Definitive Edition Review – An Offer You Could Probably Refuse,fair,6,Medium
PC,Surgeon Simulator 2 Review – Surgical Imprecision,fair,6,Medium
"PC, NS","Hades Review – The Long, Hard Road Out of Hell",superb,9,High
PS4,"13 Sentinels: Aegis Rim Review – Wow, Cool Robot!",superb,9,High
NS,Super Mario 3D All-Stars Review – Shoot For The Stars,great,8,High
PC,Road To Guangdong Review – Are We There Yet?,terrible,2,Very Low
"PC, PS4, XONE, NS",Vampire: The Masquerade - Shadows Of New York Review,fair,6,Medium
PS4,"Othercide Review – Mother, May I",great,8,High
PC,Marvel's Avengers Review – Infinity War,good,7,Medium
"XONE, PC",Tell Me Why Review,good,7,Medium
NS,Moon Review – The Bright Side,great,8,High
PC,Star Renegades Review – The Heat Of The Moment,great,8,High
NS,The Last Campfire Review – One Step At A Time,great,8,High
"PS4, XONE",Tony Hawk's Pro Skater 1 + 2 Review – I'm A Superman,superb,9,High
"PC, NS",Paradise Killer Review,superb,9,High
"PC, PS4, NS",Evergate Review – Ever Great,great,8,High
PS4,Madden 21 Review – Feels More Like An Update,fair,6,Medium
"PC, NS",A Short Hike Review,superb,9,High
"PS4, PC, XONE",Project Cars 3 Review – Into The Horizon,good,7,Medium
PC,Control AWE DLC Review – Haunted Oldest House,fair,6,Medium
PS4,Windbound Review – Against The Wind,mediocre,5,Low
PC,Thousand Threads Review -- Post Secrets,mediocre,5,Low
PC,Spiritfarer Review – Purrrgatory,superb,9,High
"PC, NS",No Straight Roads Review – Bangers And Smash,good,7,Medium
PC,Microsoft Flight Simulator Review – Max Altitude,superb,9,High
IOS,Next Stop Nowhere Review – Bugs On The Windshield,bad,3,Very Low
PS4,PGA Tour 2K21 Review – For Purists And Newcomers Alike,great,8,High
PC,Dead By Daylight Review (2020) – Toying With Terror,superb,9,High
PC,Mortal Shell Review – Stone Souls,great,8,High
PC,Skater XL Review – Too Little To Skate,mediocre,5,Low
PC,Battletoads Review – Middle-Aged Cartoon Alien Toads,fair,6,Medium
"PC, XONE",Hyper Scape Review – 'Scape From The City,fair,6,Medium
PC,A Total War Saga: Troy Review - My Kingdom For A Centaur,good,7,Medium
PC,Risk Of Rain 2 Review,great,8,High
"PC, PS4",Fall Guys: Ultimate Knockout Review - Major Chaos,good,7,Medium
PC,Skully Review,mediocre,5,Low
PC,Umurangi Generation Review - Cyberpunk Snap,superb,9,High
PC,Littlewood Review - Big Heart,great,8,High
PS4,Horizon Zero Dawn Review,superb,9,High
"XONE, PC",Grounded Early Access Review - Little Acorns,early access,6,Medium
PC,Desperados 3 Review - Revolvers And Redos,superb,9,High
PC,Rock Of Ages 3: Make & Break Review - Let's Roll,good,7,Medium
"PC, IOS",Beyond A Steel Sky Review - Foster The Future,mediocre,5,Low
NS,Panzer Paladin Review,great,8,High
XONE,Maid Of Sker Review - Backtracking Trip,poor,4,Low
XONE,"Destroy All Humans Review - Two Arms, Two Legs, And An Attitude",fair,6,Medium
"PC, XONE, NS",Carrion Review,good,7,Medium
PC,Necrobarista Review,good,7,Medium
"XONE, PC",Ooblets Early Access Review,early access,7,Medium
PC,Fight Crab Review - Battle Of The Bisque,fair,6,Medium
PC,Rocket Arena Review,fair,6,Medium
"PC, PS4, NS, XONE",Superliminal Review - We Need To Go Deeper,great,8,High
NS,Paper Mario: The Origami King Review,great,8,High
NS,Bloodstained: Curse Of The Moon 2 Review,great,8,High
